module,symbol,kind,visibility,consumers,disposition,status,target_wave,test_evidence,notes
taql,TaqlParser,class,public,Table/MsSelection,keep-public,Pending,P11-W3,,"TaQL query string parser"
taql,TaqlAst,class,public,TaqlEvaluator,keep-public,Pending,P11-W3,,"Abstract syntax tree root"
taql,TaqlCommand,enum,public,TaqlParser,keep-public,Pending,P11-W3,,"Command type enumeration"
taql,TaqlExprNode,class,public,TaqlEvaluator/MsSelection,keep-public,Pending,P11-W3,,"Expression tree node"
taql,TaqlEvaluator,class,public,Table,keep-public,Pending,P11-W4,,"Expression evaluator"
taql,TaqlResult,class,public,Table/user code,keep-public,Pending,P11-W4,,"Query result container"
taql,TaqlValue,variant,public,TaqlEvaluator,keep-public,Pending,P11-W4,,"Typed value for expression eval"
taql,taql_execute,function,public,Table/user code,keep-public,Pending,P11-W4,,"Execute TaQL command on table"
taql,taql_parse,function,public,taql_execute/user code,keep-public,Pending,P11-W3,,"Parse TaQL string to AST"
taql,TaqlFunc,registry,public,TaqlEvaluator,keep-public,Pending,P11-W4,,"Built-in function registry"
taql,TaqlUdf,class,public,TaqlFunc,keep-public,Pending,P11-W4,,"User-defined function base"
taql,TaqlShow,function,public,SHOW command,keep-public,Pending,P11-W3,,"Help text generator"
ms_selection,MsSelection,class,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"Row selection engine"
ms_selection,MsSelection::set_antenna_expr,method,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"Antenna expression setter"
ms_selection,MsSelection::set_field_expr,method,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"Field expression setter"
ms_selection,MsSelection::set_spw_expr,method,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"SPW expression setter"
ms_selection,MsSelection::set_scan_expr,method,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"Scan expression setter"
ms_selection,MsSelection::set_time_expr,method,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"Time expression setter"
ms_selection,MsSelection::set_uvdist_expr,method,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"UVdist expression setter"
ms_selection,MsSelection::set_corr_expr,method,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"Corr expression setter"
ms_selection,MsSelection::set_state_expr,method,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"State expression setter"
ms_selection,MsSelection::set_observation_expr,method,public,user code,keep-public,Pending,P11-W5,,"New: observation expression setter"
ms_selection,MsSelection::set_array_expr,method,public,user code,keep-public,Pending,P11-W5,,"New: array expression setter"
ms_selection,MsSelection::set_feed_expr,method,public,user code,keep-public,Pending,P11-W5,,"New: feed expression setter"
ms_selection,MsSelection::set_taql_expr,method,public,user code,keep-public,Pending,P11-W5,,"New: raw TaQL expression setter"
ms_selection,MsSelection::evaluate,method,public,user code,keep-public,Existing,P11-W6,ms_selection_test,"Main evaluation method"
ms_selection,MsSelection::to_table_expr_node,method,public,user code/TaQL,keep-public,Pending,P11-W6,,"New: TaQL bridge method"
ms_selection,MsSelection::has_selection,method,public,user code,keep-public,Existing,P11-W5,ms_selection_test,"Check if any selection set"
ms_selection,MsSelectionResult,struct,public,user code,keep-public,Existing,P11-W6,ms_selection_test,"Selection result container"
ms_selection,MsSelectionResult::rows,field,public,user code,keep-public,Existing,P11-W6,ms_selection_test,"Selected row indices"
ms_selection,MsSelectionResult::antenna1,field,public,user code,keep-public,Pending,P11-W6,,"New: antenna1 IDs"
ms_selection,MsSelectionResult::antenna2,field,public,user code,keep-public,Pending,P11-W6,,"New: antenna2 IDs"
ms_selection,MsSelectionResult::baseline_pairs,field,public,user code,keep-public,Pending,P11-W6,,"New: baseline pair list"
ms_selection,MsSelectionResult::chan_list,field,public,user code,keep-public,Pending,P11-W6,,"New: channel list (spw,start,stop,step)"
ms_selection,MsSelectionResult::time_ranges,field,public,user code,keep-public,Pending,P11-W6,,"New: time ranges (MJD pairs)"
ms_selection,MsSelectionResult::uv_ranges,field,public,user code,keep-public,Pending,P11-W6,,"New: UV distance ranges"
ms_selection,MsSelectionResult::observations,field,public,user code,keep-public,Pending,P11-W6,,"New: observation IDs"
ms_selection,MsSelectionResult::arrays,field,public,user code,keep-public,Pending,P11-W6,,"New: subarray IDs"
ms_selection,MsSelectionResult::feeds,field,public,user code,keep-public,Pending,P11-W6,,"New: feed pair list"
ms_selection,MsSelectionResult::ddids,field,public,user code,keep-public,Pending,P11-W6,,"New: data description IDs"
table,Table::query,method,public,user code,keep-public,Pending,P11-W4,,"New: TaQL query entry point"
table,Table::select_rows,method,public,user code,keep-public,Pending,P11-W4,,"New: row selection via expression"
